,artist,master_genre
906,Wilson Phillips,Pop music
907,Ralph Tresvant,Gospel music
908,Cathy Dennis,Hip hop
909,Londonbeat,Hip hop
910,Natural Selection,Pop music
911,R.E.M.,Rock music
912,D.J. Jazzy Jeff and The Fresh Prince,Hip hop
913,Scorpions,Rock music
914,Rhythm Syndicate,Pop music
915,Tracie Spencer,Gospel music
916,Luther Vandross,Blues music
917,Divinyls,Rock music
918,DMA,Pop music
919,Another Bad Creation,Pop music
920,Nelson,Rock music
921,Vanilla Ice,Hip hop
922,Corina,Hip hop
923,Escape Club,Rock music
924,Prince And The N.P.G.,Hip hop
925,Heavy D. and The Boyz,Hip hop
926,Styx,Rock music
927,Rick Astley,Rock music
928,Tesla,Rock music
929,Michael W. Smith,Rock music
930,Poison,Rock music
